,author,comment,published_at,Number_of_likes
443,@hugobudiman805,Hope the person he/she will get better Amen✝️✝️✝️🙏🙏🙏🍞🍷🍞🍷🍞🍷🥺🥺🥺😭😭😭❤❤❤💖💖💖😇😇😇,2022-09-13T04:41:28Z,0
444,@Soul_Vin,Legend's waiting to see the ambulance to do same thing 😂😂,2022-09-12T12:40:05Z,171
445,@MdSakil-ts5ki,Sasta vpx,2022-09-12T08:03:46Z,0
446,@trollneubat,nice edit❤ good,2022-09-12T06:15:30Z,1
447,@mirnazeineh3917,Oh yes flip everywhere in the car,2022-09-12T04:28:23Z,1
448,@prank_short_3,"Part 2 👇🏾
https://youtu.be/XO9jjCAR8uk",2022-09-12T02:47:51Z,1
449,@kangabanbaechannel5884,👍😁👍,2022-09-12T01:00:12Z,1
450,@_-tropical-_,What in the actual flying FUUUUUUU-,2022-09-12T00:46:59Z,2
451,@SQUIRREL-i4f,No sabía pero CLARO QUE NO EWWWWWWW,2022-09-11T20:34:30Z,0
452,@asialynnlandry16,OK how did the car flip how did the car flip,2022-09-11T18:33:28Z,0
453,@İlkerdirik-t3n,"Cringe button
👇🏻",2022-09-11T11:20:46Z,64
454,@lakynratzlaff,huh 😃,2022-09-11T04:13:26Z,0
455,@arwazgaming1109,"Part2 
https://youtube.com/shorts/uM4Ifg-P0Tg?feature=share   jaldi dekhlo",2022-09-11T00:45:46Z,0
456,@dejjdjdjsk2665,Fysik,2022-09-10T14:48:04Z,1
457,@nunikariyantv,https://youtube.com/shorts/OIWRTO9yQdI?feature=share,2022-09-10T12:14:27Z,0
458,@Incomu4895,The ambulance:RRRREEEEEEE,2022-09-10T09:38:08Z,3
459,@Zexworlen,Ayo what the Fuuuuuuccc,2022-09-10T07:58:02Z,1
460,@ZenithEra-2212,excuse me what-the *FUUUUUUUUUUU*,2022-09-10T05:09:01Z,36
461,@bocilsd891,Annyeonghaseyo asam Ira,2022-09-10T03:34:32Z,0
462,@lindonjaureguimonzon2634,https://www.youtube.com/watch?v=267lhSG4qOQ&pp=wgIGCgQQAhgB suscribete por favor plis,2022-09-10T01:54:55Z,0
463,@Michael-fx3ko,But why does this have a million likes?,2022-09-09T12:50:22Z,0
464,@user-27e9ejw3q,cg티 많이 나네...,2022-09-09T12:12:48Z,5
465,@كيانحسن-ق4ر,🤮🤮🤮🤮🤢🤢🤢🤢🤢🤢,2022-09-08T20:57:20Z,0
466,@phoolkumar2911,Very nice video,2022-09-08T15:51:43Z,1
467,@padambist7991,Xxxxxxx,2022-09-08T13:59:13Z,0
468,@padambist7991,Atoz,2022-09-08T13:59:07Z,0
469,@ikwanirul3197,Halo,2022-09-08T09:47:23Z,0
470,@VivekKumar-tw1ib,P,2022-09-08T04:21:55Z,0
471,@johannhorn1989,lol,2022-09-07T14:14:26Z,1
472,@davidsalcedoalcoverro720,Q vídeo más estúpido,2022-09-06T22:43:13Z,0
473,@은희안-v2m,저건 뭐하는 기계야,2022-09-06T08:51:51Z,6
474,@dj_comments4278,This is not the future semi could die in the ambience van,2022-09-06T01:23:40Z,1
475,@aureliolopez1699,Y para que sirve ese invento saludos.,2022-09-05T21:11:58Z,0
476,@ي.هوت-س7ف,😂😂,2022-09-05T13:19:24Z,8
477,@TheRealUtkarsh,It's 3d,2022-09-05T10:52:04Z,0
478,@mekapraveen9808,Mind less technology,2022-09-05T09:39:58Z,0
479,@elingustafsson7653,😅😅,2022-09-05T04:55:19Z,1
480,@Contentcreate578,❤️Har har Mahadev Jai shree Ganesh❤️,2022-09-05T03:20:44Z,12
481,@JAMESJAMES-ti8mr,Simbq,2022-09-04T18:20:42Z,0
482,@jerosamartin9190,Did you do,2022-09-04T03:07:16Z,0
483,@АртемШмаков-с2ъ,😂😂😂😂😂,2022-09-03T19:20:13Z,0
484,@AGdragongaming,"Gravity kaha gyi,🤣🤣",2022-09-03T16:04:51Z,12
485,@endadulhumania5001,Good,2022-09-03T13:41:37Z,0
486,@GenAlpha-2,https://youtu.be/YzjQha5nbXY,2022-09-02T06:20:00Z,0
487,@lakyiraturnage7489,Lol 💀,2022-09-02T03:34:51Z,2
488,@eneagastone519,Ma che cazzodici,2022-09-01T00:51:21Z,0
489,@깡통-c3n,개 ㅡ미친것들ᆢ으 악,2022-08-31T20:11:43Z,0
490,@lihu1420,好用就是有病人,2022-08-31T19:29:01Z,3
491,@karachiqueen6230,https://youtube.com/channel/UCNUJTfL4KqBc2GMIud7yJsg,2022-08-31T18:12:58Z,0
492,@julieteursulino3498,Ricardo tá passando Branco aí é meu que vocês pisar em cima dele você não comprou,2022-08-31T17:58:01Z,0
493,@metlebemirov8313,Meseleme,2022-08-31T16:55:58Z,0
494,@Gabr290,Is fake fhotoshop,2022-08-31T11:39:23Z,0
495,@kailashdalakoti4348,https://youtube.com/shorts/4ehoaL6azFg,2022-08-31T10:05:37Z,0
496,@daljitsingh404,ਂਂੌ,2022-08-31T07:35:42Z,0
497,@starsid8318,ये कैसे किया |🙄🙄🙄,2022-08-31T06:30:58Z,0
498,@splatattack0375,The ambulance: 👁👄👁,2022-08-30T16:28:51Z,11
499,@keerti6706,Bad idea ☹👎👎👎👎👎👎👎👎👎👎👎👎👎👎,2022-08-30T13:53:42Z,1
500,@Mclub.,Made in china 🤣,2022-08-30T12:18:29Z,0
501,@knightstar7264,Bigger shooeee.bada jootaa😂🤣,2022-08-30T10:06:56Z,0
502,@knightstar7264,Saath wala faydaa utha gya iski aaaddd mein😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2022-08-30T10:05:53Z,1
503,@Jonathan-pn3tr,This is video clip from a parallel universe.,2022-08-30T02:07:00Z,0
504,@예신티비,ㅋㅋ,2022-08-30T01:38:08Z,0
505,@satutampu764,Nice,2022-08-30T01:29:58Z,2
506,@rodrigomelo6027,Kķuu,2022-08-29T18:28:55Z,0
507,@kr1491,Bruh wtf 😭,2022-08-29T13:52:12Z,2
508,@trucnhan8521,=)))))))),2022-08-28T15:59:03Z,1
509,@Daon_11.0,👎🏻👎🏻👎🏻👎🏻👎🏻,2022-08-28T03:43:07Z,0
510,@khirulamin2618,Nice,2022-08-27T15:23:13Z,0
511,@shakild8231,Full video link https://youtu.be/Xa9xs52eOGI,2022-08-27T15:04:28Z,0
512,@faseelaraouf9500,IS THAT SHOES?,2022-08-27T14:14:37Z,0
513,@gilbertocardozo3205,Mentiroso seus vagabundos,2022-08-27T12:27:47Z,0
514,@tomasdunajcik3040,🤦‍♂️🤦‍♂️🤦‍♂️,2022-08-27T05:57:21Z,0
515,@李志永-r3m,造假影片？？？,2022-08-27T02:53:40Z,0
516,@minhgameplay2507,what the f…,2022-08-27T02:42:33Z,2
517,@tymonkozio309,:OOOOOOOOOOOOOOOO,2022-08-26T23:10:50Z,0
518,@sanko3912,Hah bmw m power,2022-08-26T20:14:30Z,0
519,@김영일-b9z,Disgusting chinese idea.,2022-08-26T15:53:52Z,0
520,@Conneticutsianite_1,Why tho?,2022-08-26T14:33:27Z,0
521,@fikretkosan4947,Yok artik bukadarda olmaz,2022-08-26T09:42:47Z,1
522,@Kidchannel666,Fake dil like me,2022-08-25T14:02:43Z,0
523,@sandrapersaud7977,So fake,2022-08-25T01:21:45Z,1
524,@sahasrathoughts6071,https://youtube.com/shorts/yqdYx_fObbM?feature=share,2022-08-24T17:08:36Z,0
525,@carlwessbo6658,Tell me how this is 2d,2022-08-24T16:53:18Z,0
526,@rakibhasan-ci6vb,🤪😃🙄,2022-08-24T14:15:10Z,0
527,@kathleenturney4240,"Go car car, go!!",2022-08-23T14:25:36Z,2
528,@numankhan-zt1jx,https://youtu.be/Rg0osRo6gv4,2022-08-22T14:34:30Z,0
